AS, node_degree, IP_prefix_count, class
3527, 2, 27, Content
3538, 1, 1, unclassified
3549, 2668, 1981, Transit
3557, 1, 3, unclassified
3561, 242, 521, Transit
3582, 3, 4, Content
3583, 1, 40, Transit
3586, 1, 12, unclassified
3593, 12, 60, Transit
3595, 6, 40, Transit
3597, 12, 39, Transit
3598, 1, 29, Transit
3599, 2, 15, Transit
3601, 7, 2, Content
3605, 20, 22, Transit
3624, 1, 1, unclassified
3630, 12, 1, Transit
3640, 2, 8, Transit
3661, 12, 6, Transit
3662, 22, 6, Transit
3663, 17, 18, Transit
3676, 3, 3, Transit
3685, 3, 14, Transit
3700, 1, 2, Transit
3701, 20, 13, Transit
3707, 3, 44, Transit
3714, 2, 6, Transit
3722, 2, 12, Transit
3728, 4, 30, Transit
3737, 33, 33, Transit
3741, 664, 252, Transit
3742, 15, 3, Transit
3745, 2, 3, Transit
3754, 36, 9, Transit
3755, 4, 6, Transit
3758, 94, 266, Transit
3766, 2, 2, Transit
3770, 1, 0, Transit
3786, 373, 783, Transit
3790, 13, 118, Transit
3801, 4, 123, Transit
3807, 1, 29, unclassified
3816, 9, 1031, Transit
3833, 1, 153, Transit
3836, 3, 8, Transit
3842, 8, 48, Content
3851, 33, 5, Content
3852, 1, 0, unclassified
3853, 8, 3, Content
3855, 6, 72, Transit
3856, 760, 1, Content
3900, 22, 81, Transit
3908, 32, 11, Transit
3910, 35, 19, Transit
3912, 3, 21, Transit
3923, 1, 2, Transit
3931, 1, 6, Transit
3943, 2, 1, Transit
3949, 1, 62, Transit
4004, 470, 0, Transit
4007, 8, 96, Transit
4040, 1, 2, unclassified
4043, 5, 3, Content
4049, 5, 8, Transit
4058, 30, 147, Transit
4134, 117, 828, Transit
4136, 4, 15, Transit
4150, 20, 10, Transit
4151, 2, 0, Content
4181, 374, 72, Transit
4185, 1, 23, unclassified
4193, 1, 32, Transit
4208, 2, 12, Transit
4224, 4, 3, Content
4230, 292, 65, Transit
4258, 50, 29, Transit
4261, 3, 8, Transit
4262, 2, 21, Transit
4263, 4, 4, Transit
4264, 3, 35, Transit
4265, 4, 22, Transit
4266, 1, 60, Transit
4267, 11, 29, Transit
4269, 2, 24, Transit
4270, 18, 33, Transit
4314, 1, 7, Transit
4319, 4, 12, Transit
4323, 49, 22, Transit
4382, 52, 16, Content
4434, 1, 68, Transit
4436, 19, 0, Transit
4445, 1, 13, unclassified
4459, 4, 27, Transit
4466, 1, 138, Transit
4473, 1, 32, unclassified
4474, 7, 8, Transit
4508, 5, 2, Transit
4515, 64, 342, Transit
4528, 1, 14, Transit
4538, 13, 5453, Transit
4540, 5, 25, Transit
4544, 2, 28, Transit
4546, 9, 26, Transit
4556, 1, 2, Transit
4557, 10, 8, Transit
4558, 19, 0, Transit
4565, 4, 213, Transit
4574, 1, 1, Transit
4581, 6, 14, Transit
4589, 479, 91, Transit
4594, 11, 11, Content
4608, 201, 7, Transit
4609, 3, 76, Transit
4610, 3, 0, Content
4617, 1, 0, Transit
4618, 27, 208, Transit
4621, 48, 102, Transit
4628, 14, 431, Transit
4637, 622, 454, Transit
4641, 16, 3, Transit
4643, 1, 7, unclassified
4645, 3, 86, Transit
4646, 11, 3, Content
4647, 4, 8, Content
4648, 74, 210, Transit
4651, 515, 27, Transit
4652, 20, 6, Transit
4657, 238, 540, Transit
4658, 11, 19, Content
4670, 8, 237, Transit
4673, 4, 18, Transit
4675, 6, 5, Transit
4678, 2, 5, Transit
4680, 3, 22, Transit
4685, 9, 33, Content
4686, 1, 61, Transit
4690, 1, 1, unclassified
4693, 3, 7, Content
4694, 12, 121, Transit
4697, 5, 5, Content
4704, 11, 15, Transit
4711, 3, 14, Content
4713, 137, 221, Transit
4719, 1, 1, unclassified
4723, 1, 8, unclassified
4725, 61, 163, Transit
4739, 584, 946, Transit
4741, 4, 52, Transit
4750, 79, 372, Transit
4755, 580, 2115, Transit
4760, 15, 365, Transit
4761, 201, 390, Transit
4764, 9, 46, Transit
4765, 3, 243, Transit
4766, 524, 2972, Transit
4768, 46, 95, Transit
4770, 12, 17, Transit
4771, 2, 245, Transit
4773, 159, 85, Content
4775, 132, 131, Transit
4776, 3, 38, Transit
4777, 13, 1, Transit
4779, 5, 0, Transit
4780, 43, 690, Transit
4787, 23, 381, Transit
4788, 364, 444, Transit
4789, 1, 0, unclassified
4795, 14, 265, Transit
4796, 1, 3, Transit
4800, 508, 330, Transit
4802, 2, 193, Transit
4804, 2, 322, Transit
4805, 1, 0, Transit
4808, 88, 1636, Transit
4809, 221, 188, Transit
4811, 6, 0, Transit
4812, 43, 444, Transit
4813, 6, 62, Transit
4816, 1, 75, Transit
4818, 10, 10, Transit
4826, 955, 124, Transit
4835, 1, 66, Transit
4837, 78, 793, Transit
4844, 185, 3, Transit
4845, 1, 4, Transit
4847, 85, 762, Transit
4851, 10, 16, Transit
4854, 2, 1, Transit
4855, 52, 65, Content
4862, 15, 1, Transit
4901, 6, 1, Transit
4913, 1, 21, Transit
4922, 18, 47, Transit
4927, 18, 13, Transit
4996, 1, 12, Transit
4997, 1, 30, Transit
